URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/Wahl-India-Argan-Smart-Multicolor/dp/B07GTWTD1P,"₹2,280.00",0
https://www.amazon.in/BHH880-10-Straightening-Thermoprotect-Technology/dp/B07Q2ZM5LS,"₹2,745.00",0
https://www.amazon.in/Havells-Ionic-Keratin-Smooth-Straightening/dp/B07MTY9W8Q,"₹1,859.00","₹1,859.00"
https://www.amazon.in/Havells-HC4032-Chopstick-Ceramic-Turquoise/dp/B07PZ7Q4D4,Not Available,Not Available
https://www.amazon.in/Vega-VHSB-01-X-Glam-Straightening-VHDH-06/dp/B07V2MHF26,Not Available,Not Available
https://www.amazon.in/Philips-HP8232-00-Professional-Protect/dp/B07NGTXT1G,Not Available,0
https://www.amazon.in/Philips-BHD007-Hair-Dryer-Black/dp/B01B4NDX8M,Not Available,Not Available
https://www.amazon.in/Vega-Touch-VHDP-02-Dryer-Black/dp/B00QLX3UZC,Not Available,Not Available
https://www.amazon.in/Lenovo-Windows-Graphics-Phantom-82B500BHIN/dp/B08GG8WCW7,"₹68,590.00","₹68,590.00"
https://www.amazon.in/Havells-HC4031-Chopstick-Curler-Black/dp/B075FT4XWG,"₹1,309.00",0
https://www.amazon.in/Thermoprotect-AirFlower-Advanced-Settings-Hair-Purple/dp/B08SMMRJJL,"₹1,949.00",0
https://www.amazon.in/Philips-BHB862-Curler-Black-White/dp/B073ZCZTS5,"₹1,735.00",0
https://www.amazon.in/Philips-Mg3730-Multi-Grooming-Black/dp/B075V7WLFT,Not Available,0
https://www.amazon.in/PHILIPS-MG3721-77-TRIMMER/dp/B091C97DVG,"₹1,323.00",0
https://www.amazon.in/Havells-RS7005-3-Rotary-Shaver-trimmer/dp/B08CY3N165,"₹1,529.00","₹1,529.00"
https://www.amazon.in/Panasonic-ER-GY10K-Mens-Body-Grooming/dp/B009EPFD2C,"₹2,440.00",0
https://www.amazon.in/Nova-NG-1151-Waterproof-Cordless/dp/B078K5CBX7,"₹1,395.00",0
https://www.amazon.in/Philips-Touch-up-HP6388-Eyebrows-Trimmer/dp/B08CJ34LBW,"₹1,155.00",0
https://www.amazon.in/Havells-HC4045-Multi-Styling-Black/dp/B079QJW5CW,"₹2,309.00",0
https://www.amazon.in/Dyson-Airwrap-Styler-Complete-Fuchsia/dp/B07N4JK7V5,Not Available,0
https://www.amazon.in/Havells-HC4025-Limited-Styling-Purple/dp/B07FTWS7QZ,"₹1,599.00",0
https://www.amazon.in/Philips-BHS386-Shine-Straightener-Purple/dp/B073ZDQLPR,Not Available,Not Available
https://www.amazon.in/VEGA-Self-Style-Straightener-VHSH-27-Black/dp/B07YCYYP8B,"₹1,034.00",0
https://www.amazon.in/Havells-HS4161-temperature-control-Straightener/dp/B0773Q8FDH,"₹2,318.00",0
https://www.amazon.in/PHILIPS-BHS738-00-Straightener-SilkProtect/dp/B096W3W388,"₹2,715.00",0
https://www.amazon.in/Kerashine-Straightener-Thermoprotect-Technology-Keratin-Infused/dp/B086XTM88X,"₹3,049.00",0
https://www.amazon.in/Havells-RS7100-Electric-Shaver-Black/dp/B07FTP9TZG,Not Available,Not Available
https://www.amazon.in/Vega-VHSCC-01-Instant-Style-Styler/dp/B071J3YJ73,"₹1,259.00","₹1,259.00"
https://www.amazon.in/PHILIPS-BHS397-Straightener-SilkProtect-Technology/dp/B096VZHQ6X,"₹2,045.00",0
https://www.amazon.in/SMART-INCH-HAIER-ANDROID-32K6600/dp/B08CJZ589F,"₹19,490.00",0
https://www.amazon.in/Haier-Inches-Ready-LE32K6000B-Black/dp/B07THTT541,Not Available,0
https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T,"₹17,499.00",0
https://www.amazon.com/Sony-MDREX15LPB-AE-Earphones-MDREX15LP-Black/dp/B00I3LUQPW,Not Available,Not Available
https://www.amazon.in/TCL-Inches-Certified-Android-32S65A/dp/B08PCXXMJ6,"₹16,499.00",0
https://www.amazon.in/LG-inches-32LK628BPTF-Ready-Smart/dp/B07F8VLSQM,"₹28,890.00",0
https://www.amazon.in/Logitech-G331-Gaming-Headset-Black/dp/B07QD651MX,"₹5,500.00",0
https://www.amazon.in/JBL-LIVE220BT-Wireless-Neckband-Headphones/dp/B07N7WWX24,"₹3,999.00",0
https://www.amazon.in/Sony-MDR-EX31BN-Bluetooth-Stereo-Headphones/dp/B00KE1X61K,Not Available,0
https://www.amazon.in/Sony-Extra-MDR-XB650BT-Wireless-Headphones/dp/B01BY7ZMXC,Not Available,0
https://www.amazon.in/Rockerz-610-Bluetooth-Headphone-Earcushions/dp/B086C79DFJ,"₹2,790.00",0
https://www.amazon.in/Skullcandy-S2JPW-M003-Wireless-Earphone-Black/dp/B07RS25MCP,"₹1,499.00",0
